dong_id,p_i,c_i,K_i,x_obs_i,B_i
11190700,1725.9648000000002,2708.333333333333,1,0.5086750675324677,0.16666666666666666
11190710,2124.0375000000004,2500.0,1,0.10173501350649353,0.0
11190720,1876.8360000000002,3072.916666666667,1,0.30520504051948066,0.4583333333333333
11190730,1853.7194210526318,2604.166666666667,2,0.9664826283116885,0.08333333333333333
11190740,1826.8410000000001,2609.011627906977,10,7.642625127697124,0.0872093023255814
11190750,1613.37075,2673.611111111111,4,2.776258031090586,0.1388888888888889
11190760,1653.8535,2609.011627906977,13,9.779229546850539,0.0872093023255814
11200520,1711.149,2954.5454545454545,11,0.15260252025974033,0.36363636363636365
11200530,1809.400562369734,2500.0,105,1.5080291835831205,0.0
11200540,1895.1945,3055.5555555555557,22,0.30520504051948066,0.4444444444444444
11200550,1809.400562369734,2500.0,0,0.0,0.0
11200560,1809.400562369734,2500.0,0,0.0,0.0
11200630,1474.0674000000001,2777.777777777778,18,0.25433753376623386,0.2222222222222222
11200650,1468.9919999999997,2954.5454545454545,11,0.15260252025974033,0.36363636363636365
11200660,1809.400562369734,2500.0,0,0.0,0.0
11200670,2225.8185000000003,3333.333333333333,8,0.10173501350649353,0.6666666666666666
11200680,1692.48975,2826.086956521739,823,11.866595926197938,0.2608695652173913
11200690,1870.3890000000001,2666.6666666666665,22,0.30520504051948066,0.13333333333333333
11200700,1866.2325,2593.75,64,0.9156151215584418,0.075
11200710,2021.8739999999998,2708.333333333333,177,2.548356378639506,0.16666666666666666
11200720,2066.116875,3181.818181818182,29,0.4069400540259741,0.5454545454545454
11200730,1470.9846923076925,2548.076923076923,46,0.6612775877922079,0.038461538461538464
11210520,1671.455625,2884.6153846153843,27,0.4069400540259741,0.3076923076923077
11210540,1809.400562369734,2500.0,0,0.0,0.0
11210570,1809.400562369734,2500.0,0,0.0,0.0
11210580,2123.6100000000006,2500.0,17,0.25433753376623386,0.0
11210610,1658.544,2734.375,21,0.30520504051948066,0.1875
11210620,1530.258,2812.5,7,0.10173501350649353,0.25
11210630,1917.47175,2500.0,84,1.275907599981605,0.0
11210640,2834.142,3125.0,4,0.05086750675324676,0.5
11210650,1809.400562369734,2500.0,0,0.0,0.0
11210660,1809.400562369734,2500.0,0,0.0,0.0
11210680,1747.6772307692306,2656.25,44,0.6612775877922079,0.125
11210690,1900.00725,2539.0625,1003,15.26008289045698,0.03125
11210710,1809.400562369734,2500.0,0,0.0,0.0
11210720,1580.9928,2500.0,17,0.25433753376623386,0.0
11210730,2567.0872499999996,3125.0,14,0.20347002701298705,0.5
11210780,1705.5120000000002,2586.206896551724,51,0.7630126012987014,0.06896551724137931
11210790,1809.400562369734,2500.0,0,0.0,0.0
